"Method","Time (ms)","Own Time (ms)"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$497.dispatch()","1459","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$RemoveAll.removeAll() PersistentUnifier.java","1447","65"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.copyAndMigrateFromInlineToNode(AtomicReference, int, PersistentTrieSet$AbstractSetNode) PersistentTrieSet.java","1422","773"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.occursCheck(PersistentUnifier$Immutable) PersistentUnifier.java","1409","37"
"mb.statix.solver.completeness.Completeness$Immutable.apply(ISubstitution$Immutable) Completeness.java","1393","5"
"io.usethesource.capsule.core.PersistentTrieSet.__insertEquivalent(Object, EqualityComparator) PersistentTrieSet.java","1387","204"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractTransientTrieSet.__insertAllEquivalent(Set, EqualityComparator) PersistentTrieSet.java","1367","138"
"mb.statix.concurrent.StatixSolver.future(IConstraint, IFuture, StatixSolver$K) StatixSolver.java","1366","0"
"mb.nabl2.terms.Terms$1.caseVar(ITermVar) Terms.java","1361","38"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.putRep(ITermVar, ITermVar) PersistentUnifier.java","1344","0"
"mb.nabl2.terms.unification.u.BaseUnifier.getVars(ITerm) BaseUnifier.java","1324","2"
"mb.statix.concurrent.StatixSolver.releaseDelayedActions(Iterable) StatixSolver.java","1298","11"
"mb.nabl2.terms.unification.u.IUnifier$Immutable.unify(IUnifier) IUnifier.java","1286","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.unify(IUnifier, Predicate1) PersistentUnifier.java","1286","0"
"io.usethesource.capsule.core.PersistentTrieMap.get(Object) PersistentTrieMap.java","1281","29"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier.findTerm(ITerm) BaseUniDisunifier.java","1281","10"
"org.metaborg.util.future.CompletableFuture.compose(CheckedFunction2) CompletableFuture.java","1273","12"
"mb.p_raffrayi.impl.TypeCheckerUnit.getExternalDatum(Object) TypeCheckerUnit.java","1261","0"
"mb.p_raffrayi.impl.TypeCheckerUnit.lambda$0(Object, Unit, Throwable) TypeCheckerUnit.java","1261","27"
"mb.p_raffrayi.impl.TypeCheckerUnit$$Lambda$1089.apply(Object, Object)","1261","0"
"io.usethesource.capsule.core.PersistentTrieMap.getEquivalent(Object, EqualityComparator) PersistentTrieMap.java","1252","59"
"mb.statix.solver.completeness.Completeness$Transient.apply(ISubstitution$Immutable) Completeness.java","1235","66"
"java.lang.invoke.LambdaForm$MH.13648335.linkToTargetMethod(Object, Object) LambdaForm$MH","1211","294"
"mb.nabl2.terms.unification.u.PersistentUnifier.findRep(ITermVar, Map$Transient, MultiSet$Transient) PersistentUnifier.java","1207","106"
"mb.nabl2.terms.unification.ud.BaseUniDisunifier.getVars(ITerm) BaseUniDisunifier.java","1198","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.removeAll(Iterable) PersistentUnifier.java","1175","7"
"mb.statix.concurrent.AbstractTypeChecker.getExternalDatum(Object) AbstractTypeChecker.java","1169","10"
"mb.statix.concurrent.AbstractTypeChecker.getExternalDatum(ITerm) AbstractTypeChecker.java","1159","0"
"mb.p_raffrayi.actors.impl.Actor.lambda$6(IActorInternal, Method, Object[]) Actor.java","1153","0"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$462.dispatch()","1153","0"
"io.usethesource.capsule.core.PersistentTrieSet.iterator() PersistentTrieSet.java","1084","13"
"mb.nabl2.terms.build.AAppl1Term.match(ITerm$Cases) AAppl1Term.java","1077","66"
"mb.nabl2.terms.matching.TermMatch$M$$Lambda$34.match(ITerm, IUnifier)","1076","66"
"mb.statix.solver.completeness.Completeness.getVarOrScope(ITerm, IUnifier) Completeness.java","1071","0"
"io.usethesource.capsule.core.PersistentTrieSet.keyIterator() PersistentTrieSet.java","1071","102"
"mb.nabl2.terms.unification.u.BaseUnifier.isCyclic(ITerm) BaseUnifier.java","1059","0"
"org.metaborg.util.collection.MultiSet$Transient.add(Object, int) MultiSet.java","1054","20"
"mb.nabl2.terms.Terms$CaseBuilder$1.caseVar(ITermVar) Terms.java","1046","79"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.<init>(PersistentUnifier$Immutable) PersistentUnifier.java","1044","271"
"mb.statix.concurrent.StatixSolver.getExternalRepresentation(ITerm) StatixSolver.java","1036","0"
"io.usethesource.capsule.core.PersistentTrieSet.asTransient() PersistentTrieSet.java","1010","380"
