"Method","Time (ms)","Own Time (ms)"
"mb.p_raffrayi.impl.AbstractUnit$1.getDatum(Object) AbstractUnit.java","3393","28"
"java.util.HashSet.contains(Object) HashSet.java","3283","1392"
"mb.statix.spec.RuleUtil.instantiateHeadPatterns(Rule) RuleUtil.java","3267","151"
"mb.statix.concurrent.StatixSolver.releaseDelayedActions(Iterable) StatixSolver.java","3197","10"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$22(ITermVar, ITerm) PersistentUnifier.java","3083","12"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$659.apply(Object)","3083","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.unifyVarTerm(ITermVar, ITerm) PersistentUnifier.java","3071","67"
"mb.statix.concurrent.StatixSolver.entails(ITypeCheckerContext, Spec, IState$Immutable, IConstraint, ICompleteness$Immutable, IDebugContext, SolverTracer, ICancel, IProgress, int) StatixSolver.java","3031","11"
"io.usethesource.capsule.core.PersistentTrieSet$SetKeyIterator.<init>(PersistentTrieSet$AbstractSetNode) PersistentTrieSet.java","2956","262"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.disunify(Iterable, IUnifier$Immutable, Predicate1) PersistentUniDisunifier.java","2930","10"
"mb.statix.constraints.CConj.apply(ISubstitution$Immutable) CConj.java","2847","23"
"mb.statix.constraints.CConj.apply(ISubstitution$Immutable) CConj.java","2799","0"
"io.usethesource.capsule.core.PersistentTrieMap$CompactMapNode.findByKey(Object, int, int, EqualityComparator) PersistentTrieMap.java","2736","683"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractSetIterator.<init>(PersistentTrieSet$AbstractSetNode) PersistentTrieSet.java","2688","1770"
"mb.p_raffrayi.impl.AbstractUnit$1$$Lambda$1038.apply(Object, Object)","2644","0"
"mb.p_raffrayi.impl.AbstractUnit$1$$Lambda$1039.apply(Object, Object)","2639","12"
"mb.p_raffrayi.impl.AbstractUnit$1.lambda$11(TypeCheckerState, ICompletableFuture, Boolean, Throwable) AbstractUnit.java","2627","28"
"org.metaborg.util.future.AggregateFuture.of(Iterable) AggregateFuture.java","2618","3"
"mb.nabl2.terms.matching.TermPattern$P.match(Iterable, Iterable, IUnifier$Immutable) TermPattern.java","2604","0"
"mb.nabl2.terms.Terms$CheckedCaseBuilder$1.caseVar(ITermVar) Terms.java","2550","35"
"mb.p_raffrayi.actors.impl.Actor$$Lambda$497.dispatch()","2509","11"
"mb.p_raffrayi.actors.impl.Actor.lambda$15(ICompletable, Object, Throwable) Actor.java","2498","0"
"mb.statix.concurrent.StatixSolver.lambda$9(IDebugContext, IConstraint, ITypeCheckerContext, ICompleteness$Immutable, ICancel) StatixSolver.java","2473","0"
"mb.statix.concurrent.StatixSolver$$Lambda$1050.apply()","2473","0"
"mb.nabl2.terms.Terms$CheckedCaseBuilder$1.caseAppl(IApplTerm) Terms.java","2470","9"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify$$Lambda$658.apply(Object)","2461","10"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.lambda$21(ITermVar, ITermVar) PersistentUnifier.java","2450","0"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.unifyVars(ITermVar, ITermVar) PersistentUnifier.java","2450","70"
"io.usethesource.capsule.core.PersistentTrieSet.asTransient() PersistentTrieSet.java","2447","416"
"mb.nabl2.terms.build.ATermVar.match(ITerm$Cases) ATermVar.java","2445","25"
"mb.statix.constraints.CExists.unsafeApply(ISubstitution$Immutable) CExists.java","2414","41"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.unify(Iterable, Predicate1) PersistentUnifier.java","2410","0"
"java.util.Map.getOrDefault(Object, Object) Map.java","2388","53"
"mb.statix.constraints.CExists.unsafeApply(ISubstitution$Immutable) CExists.java","2372","3"
"io.usethesource.capsule.core.PersistentTrieSetMultimap$CompactSetMultimapNode.findByKey(Object, int, int, EqualityComparator) PersistentTrieSetMultimap.java","2348","445"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.get(Object) PersistentTrieMap.java","2329","43"
"mb.p_raffrayi.impl.AbstractUnit$1.lambda$4(ILogger, Object, boolean, DataWf, IActorRef, Unit) AbstractUnit.java","2318","48"
"mb.p_raffrayi.impl.AbstractUnit$1$$Lambda$1023.apply(Object)","2313","0"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.getEquivalent(Object, EqualityComparator) PersistentTrieMap.java","2285","1329"
"org.metaborg.util.future.AggregateFuture.<init>(Function1, List) AggregateFuture.java","2234","218"
"mb.statix.concurrent.StatixSolver.entails(ITypeCheckerContext, IConstraint, ICompleteness$Immutable, ICancel) StatixSolver.java","2203","0"
"org.metaborg.util.future.CompletableFuture.thenApply(CheckedFunction1) CompletableFuture.java","2196","315"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.__put(Object, Object) PersistentTrieMap.java","2180","25"
"io.usethesource.capsule.core.PersistentTrieMap$TransientTrieMap.__putEquivalent(Object, Object, EqualityComparator) PersistentTrieMap.java","2179","333"
"org.metaborg.util.collection.CapsuleUtil.transientSet() CapsuleUtil.java","2135","102"
"mb.nabl2.terms.Terms$1.caseAppl(IApplTerm) Terms.java","2128","0"
"mb.nabl2.terms.matching.Pattern.match(ITerm, IUnifier$Immutable) Pattern.java","2118","23"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable.removeAll(Iterable) PersistentUnifier.java","2050","25"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.addRangeVar(ITermVar, int) PersistentUnifier.java","2042","41"
"mb.statix.concurrent.StatixSolver$1.caseNew(CNew) StatixSolver.java","2033","14"
"mb.statix.concurrent.StatixSolver$1.caseNew(CNew) StatixSolver.java","2033","0"
"mb.statix.constraints.CNew.matchOrThrow(IConstraint$CheckedCases) CNew.java","2033","0"
"mb.nabl2.terms.unification.ud.PersistentUniDisunifier$Immutable.normalizeDiseqs(PersistentUnifier$Immutable, Set$Immutable) PersistentUniDisunifier.java","2032","41"
"io.usethesource.capsule.core.PersistentTrieMap.get(Object) PersistentTrieMap.java","2030","3"
"io.usethesource.capsule.core.PersistentTrieSet$TransientTrieSet.<init>(PersistentTrieSet) PersistentTrieSet.java","2030","629"
"io.usethesource.capsule.core.PersistentTrieMap.getEquivalent(Object, EqualityComparator) PersistentTrieMap.java","2027","184"
"mb.statix.concurrent.StatixSolver.delayAction(CheckedAction0, Iterable) StatixSolver.java","2017","15"
"mb.statix.constraints.CConj.unsafeApply(ISubstitution$Immutable) CConj.java","1978","63"
